Label (Grouping),Total:,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,total_pop,total_white,total_black,total_asian,total_other,total_hispanic,white_pct,black_pct,asian_pct,other_pct,hispanic_pct,near_hblr,near_path
"Census Tract 1, Hudson County, New Jersey","6,025","2,458","1,437",253,15,"1,693",9,32,128,6025.0,1437.0,253.0,1693.0,32.0,2458.0,23.850622406639005,4.199170124481328,28.099585062240664,0.5311203319502075,40.796680497925315,False,False
"Census Tract 2, Hudson County, New Jersey","5,409","3,362",987,310,12,630,0,31,77,5409.0,987.0,310.0,630.0,31.0,3362.0,18.24736550194121,5.731188759474949,11.647254575707153,0.5731188759474949,62.15566648178961,False,False
"Census Tract 3, Hudson County, New Jersey","4,220 (r46394)","2,346","1,267",177,10,312,0,35,73,4220.0,1267.0,177.0,312.0,35.0,2346.0,30.023696682464458,4.194312796208531,7.393364928909953,0.8293838862559242,55.59241706161138,True,False
"Census Tract 4, Hudson County, New Jersey","3,991","1,297","1,013",205,10,"1,297",0,39,130,3991.0,1013.0,205.0,1297.0,39.0,1297.0,25.382109746930592,5.136557253821097,32.4981207717364,0.9771986970684038,32.4981207717364,False,False
"Census Tract 5, Hudson County, New Jersey","4,311 (r46395)","1,928",977,224,10,"1,062",0,48,62,4311.0,977.0,224.0,1062.0,48.0,1928.0,22.66295523080492,5.196010206448619,24.63465553235908,1.1134307585247043,44.72280213407562,False,False
"Census Tract 6, Hudson County, New Jersey","5,750 (r46396)","2,494","1,373",366,11,"1,303",1,38,164,5750.0,1373.0,366.0,1303.0,38.0,2494.0,23.878260869565217,6.365217391304348,22.660869565217393,0.6608695652173914,43.37391304347826,False,False
"Census Tract 7, Hudson County, New Jersey","3,486 (r46397)","1,965",862,178,4,393,0,33,51,3486.0,862.0,178.0,393.0,33.0,1965.0,24.72748135398738,5.1061388410786,11.273666092943202,0.9466437177280551,56.36833046471601,False,False
"Census Tract 8, Hudson County, New Jersey","3,900 (r46398)","2,150","1,021",253,12,345,0,58,61,3900.0,1021.0,253.0,345.0,58.0,2150.0,26.179487179487182,6.487179487179487,8.846153846153847,1.4871794871794872,55.12820512820513,True,False
"Census Tract 9.02, Hudson County, New Jersey","6,100",980,"1,724",361,10,"2,802",6,39,178,6100.0,1724.0,361.0,2802.0,39.0,980.0,28.262295081967213,5.918032786885246,45.9344262295082,0.6393442622950819,16.065573770491802,False,True
"Census Tract 10, Hudson County, New Jersey","1,986",570,624,91,1,631,0,15,54,1986.0,624.0,91.0,631.0,15.0,570.0,31.419939577039273,4.582074521651561,31.772406847935546,0.7552870090634441,28.700906344410875,False,False
