census_tract,Households,median_income_2010
"Census Tract 1, Hudson County, New Jersey!!Median income (dollars)!!Estimate","56,389",56389.0
"Census Tract 2, Hudson County, New Jersey!!Median income (dollars)!!Estimate","38,438",38438.0
"Census Tract 3, Hudson County, New Jersey!!Median income (dollars)!!Estimate","46,033",46033.0
"Census Tract 4, Hudson County, New Jersey!!Median income (dollars)!!Estimate","70,586",70586.0
"Census Tract 5, Hudson County, New Jersey!!Median income (dollars)!!Estimate","52,147",52147.0
"Census Tract 6, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,619",48619.0
"Census Tract 7, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,795",48795.0
"Census Tract 8, Hudson County, New Jersey!!Median income (dollars)!!Estimate","65,444",65444.0
"Census Tract 9.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","35,977",35977.0
"Census Tract 10, Hudson County, New Jersey!!Median income (dollars)!!Estimate","59,625",59625.0
"Census Tract 11, Hudson County, New Jersey!!Median income (dollars)!!Estimate","53,174",53174.0
"Census Tract 12.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","68,355",68355.0
"Census Tract 12.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","19,150",19150.0
"Census Tract 13, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,884",48884.0
"Census Tract 14, Hudson County, New Jersey!!Median income (dollars)!!Estimate","50,675",50675.0
"Census Tract 17.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","49,250",49250.0
"Census Tract 18, Hudson County, New Jersey!!Median income (dollars)!!Estimate","20,820",20820.0
"Census Tract 19, Hudson County, New Jersey!!Median income (dollars)!!Estimate","31,543",31543.0
"Census Tract 20, Hudson County, New Jersey!!Median income (dollars)!!Estimate","39,375",39375.0
"Census Tract 22, Hudson County, New Jersey!!Median income (dollars)!!Estimate","62,823",62823.0
"Census Tract 23, Hudson County, New Jersey!!Median income (dollars)!!Estimate","72,313",72313.0
"Census Tract 24, Hudson County, New Jersey!!Median income (dollars)!!Estimate","89,849",89849.0
"Census Tract 27, Hudson County, New Jersey!!Median income (dollars)!!Estimate","57,000",57000.0
"Census Tract 28, Hudson County, New Jersey!!Median income (dollars)!!Estimate","29,310",29310.0
"Census Tract 29, Hudson County, New Jersey!!Median income (dollars)!!Estimate","61,875",61875.0
"Census Tract 30, Hudson County, New Jersey!!Median income (dollars)!!Estimate","27,083",27083.0
"Census Tract 31, Hudson County, New Jersey!!Median income (dollars)!!Estimate","32,609",32609.0
"Census Tract 35, Hudson County, New Jersey!!Median income (dollars)!!Estimate","77,632",77632.0
"Census Tract 40, Hudson County, New Jersey!!Median income (dollars)!!Estimate","57,066",57066.0
"Census Tract 41.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,839",34839.0
"Census Tract 41.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","43,720",43720.0
"Census Tract 42, Hudson County, New Jersey!!Median income (dollars)!!Estimate","36,080",36080.0
"Census Tract 43, Hudson County, New Jersey!!Median income (dollars)!!Estimate","39,764",39764.0
"Census Tract 44, Hudson County, New Jersey!!Median income (dollars)!!Estimate","27,650",27650.0
"Census Tract 45, Hudson County, New Jersey!!Median income (dollars)!!Estimate","39,851",39851.0
"Census Tract 46, Hudson County, New Jersey!!Median income (dollars)!!Estimate","30,288",30288.0
"Census Tract 47, Hudson County, New Jersey!!Median income (dollars)!!Estimate","44,622",44622.0
"Census Tract 48, Hudson County, New Jersey!!Median income (dollars)!!Estimate","69,088",69088.0
"Census Tract 49, Hudson County, New Jersey!!Median income (dollars)!!Estimate","47,344",47344.0
"Census Tract 52, Hudson County, New Jersey!!Median income (dollars)!!Estimate","36,146",36146.0
"Census Tract 53, Hudson County, New Jersey!!Median income (dollars)!!Estimate","52,368",52368.0
"Census Tract 54, Hudson County, New Jersey!!Median income (dollars)!!Estimate","98,272",98272.0
"Census Tract 55, Hudson County, New Jersey!!Median income (dollars)!!Estimate","53,095",53095.0
"Census Tract 56, Hudson County, New Jersey!!Median income (dollars)!!Estimate","40,339",40339.0
"Census Tract 58.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","38,802",38802.0
"Census Tract 58.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","175,625",175625.0
"Census Tract 59, Hudson County, New Jersey!!Median income (dollars)!!Estimate","80,473",80473.0
"Census Tract 60, Hudson County, New Jersey!!Median income (dollars)!!Estimate","39,716",39716.0
"Census Tract 61, Hudson County, New Jersey!!Median income (dollars)!!Estimate","50,324",50324.0
