census_tract,Median gross rent,tract_num,median_rent_2010
"Census Tract 58.02, Hudson County, New Jersey!!Total population!!Estimate","2,000+",58.02,2000
"Census Tract 74, Hudson County, New Jersey!!Total population!!Estimate","2,000+",74.0,2000
"Census Tract 76, Hudson County, New Jersey!!Total population!!Estimate","2,000+",76.0,2000
"Census Tract 77, Hudson County, New Jersey!!Total population!!Estimate","2,000+",77.0,2000
"Census Tract 150.01, Hudson County, New Jersey!!Total population!!Estimate","2,000+",150.01,2000
"Census Tract 152.01, Hudson County, New Jersey!!Total population!!Estimate","2,000+",152.01,2000
"Census Tract 158.01, Hudson County, New Jersey!!Total population!!Estimate","2,000+",158.01,2000
"Census Tract 183.01, Hudson County, New Jersey!!Total population!!Estimate","2,000+",183.01,2000
"Census Tract 183.02, Hudson County, New Jersey!!Total population!!Estimate","2,000+",183.02,2000
"Census Tract 192, Hudson County, New Jersey!!Total population!!Estimate","2,000+",192.0,2000
"Census Tract 30, Hudson County, New Jersey!!Total population!!Estimate",822,30.0,822
"Census Tract 186, Hudson County, New Jersey!!Total population!!Estimate","1,547",186.0,1547
"Census Tract 129, Hudson County, New Jersey!!Total population!!Estimate","1,075",129.0,1075
"Census Tract 146, Hudson County, New Jersey!!Total population!!Estimate","1,323",146.0,1323
"Census Tract 176, Hudson County, New Jersey!!Total population!!Estimate","1,091",176.0,1091
"Census Tract 153, Hudson County, New Jersey!!Total population!!Estimate",910,153.0,910
"Census Tract 111, Hudson County, New Jersey!!Total population!!Estimate","1,115",111.0,1115
"Census Tract 53, Hudson County, New Jersey!!Total population!!Estimate","1,241",53.0,1241
"Census Tract 163, Hudson County, New Jersey!!Total population!!Estimate",984,163.0,984
"Census Tract 22, Hudson County, New Jersey!!Total population!!Estimate","1,180",22.0,1180
"Census Tract 165, Hudson County, New Jersey!!Total population!!Estimate",956,165.0,956
"Census Tract 167, Hudson County, New Jersey!!Total population!!Estimate",950,167.0,950
"Census Tract 67, Hudson County, New Jersey!!Total population!!Estimate",537,67.0,537
"Census Tract 11, Hudson County, New Jersey!!Total population!!Estimate","1,215",11.0,1215
"Census Tract 14, Hudson County, New Jersey!!Total population!!Estimate",966,14.0,966
"Census Tract 48, Hudson County, New Jersey!!Total population!!Estimate","1,037",48.0,1037
"Census Tract 126, Hudson County, New Jersey!!Total population!!Estimate","1,019",126.0,1019
"Census Tract 179, Hudson County, New Jersey!!Total population!!Estimate","1,372",179.0,1372
"Census Tract 6, Hudson County, New Jersey!!Total population!!Estimate","1,121",6.0,1121
"Census Tract 65, Hudson County, New Jersey!!Total population!!Estimate","1,183",65.0,1183
"Census Tract 66, Hudson County, New Jersey!!Total population!!Estimate","1,228",66.0,1228
"Census Tract 75, Hudson County, New Jersey!!Total population!!Estimate","1,583",75.0,1583
"Census Tract 4, Hudson County, New Jersey!!Total population!!Estimate","1,317",4.0,1317
"Census Tract 31, Hudson County, New Jersey!!Total population!!Estimate",789,31.0,789
"Census Tract 8, Hudson County, New Jersey!!Total population!!Estimate","1,255",8.0,1255
"Census Tract 174, Hudson County, New Jersey!!Total population!!Estimate","1,063",174.0,1063
"Census Tract 102, Hudson County, New Jersey!!Total population!!Estimate","1,022",102.0,1022
"Census Tract 103, Hudson County, New Jersey!!Total population!!Estimate",916,103.0,916
"Census Tract 134, Hudson County, New Jersey!!Total population!!Estimate","1,101",134.0,1101
"Census Tract 136, Hudson County, New Jersey!!Total population!!Estimate","1,090",136.0,1090
"Census Tract 175, Hudson County, New Jersey!!Total population!!Estimate",966,175.0,966
"Census Tract 40, Hudson County, New Jersey!!Total population!!Estimate","1,022",40.0,1022
"Census Tract 108, Hudson County, New Jersey!!Total population!!Estimate","1,011",108.0,1011
"Census Tract 141.01, Hudson County, New Jersey!!Total population!!Estimate","1,523",141.01,1523
"Census Tract 106, Hudson County, New Jersey!!Total population!!Estimate",857,106.0,857
"Census Tract 155, Hudson County, New Jersey!!Total population!!Estimate",976,155.0,976
"Census Tract 42, Hudson County, New Jersey!!Total population!!Estimate",954,42.0,954
"Census Tract 56, Hudson County, New Jersey!!Total population!!Estimate","1,043",56.0,1043
"Census Tract 128, Hudson County, New Jersey!!Total population!!Estimate","1,256",128.0,1256
"Census Tract 139, Hudson County, New Jersey!!Total population!!Estimate","1,244",139.0,1244
"Census Tract 148, Hudson County, New Jersey!!Total population!!Estimate",885,148.0,885
"Census Tract 160, Hudson County, New Jersey!!Total population!!Estimate","1,002",160.0,1002
"Census Tract 171, Hudson County, New Jersey!!Total population!!Estimate","1,007",171.0,1007
"Census Tract 45, Hudson County, New Jersey!!Total population!!Estimate",963,45.0,963
"Census Tract 180, Hudson County, New Jersey!!Total population!!Estimate",977,180.0,977
"Census Tract 187.01, Hudson County, New Jersey!!Total population!!Estimate","1,695",187.01,1695
"Census Tract 105, Hudson County, New Jersey!!Total population!!Estimate",956,105.0,956
"Census Tract 109, Hudson County, New Jersey!!Total population!!Estimate",803,109.0,803
"Census Tract 142, Hudson County, New Jersey!!Total population!!Estimate","1,109",142.0,1109
"Census Tract 114, Hudson County, New Jersey!!Total population!!Estimate","1,009",114.0,1009
"Census Tract 324, Hudson County, New Jersey!!Total population!!Estimate","1,070",324.0,1070
"Census Tract 10, Hudson County, New Jersey!!Total population!!Estimate",888,10.0,888
"Census Tract 61, Hudson County, New Jersey!!Total population!!Estimate",902,61.0,902
"Census Tract 107, Hudson County, New Jersey!!Total population!!Estimate",959,107.0,959
"Census Tract 20, Hudson County, New Jersey!!Total population!!Estimate",889,20.0,889
"Census Tract 145.02, Hudson County, New Jersey!!Total population!!Estimate",446,145.02,446
"Census Tract 169, Hudson County, New Jersey!!Total population!!Estimate",933,169.0,933
"Census Tract 189, Hudson County, New Jersey!!Total population!!Estimate","1,127",189.0,1127
"Census Tract 190, Hudson County, New Jersey!!Total population!!Estimate",747,190.0,747
"Census Tract 7, Hudson County, New Jersey!!Total population!!Estimate","1,157",7.0,1157
"Census Tract 193, Hudson County, New Jersey!!Total population!!Estimate","1,570",193.0,1570
"Census Tract 5, Hudson County, New Jersey!!Total population!!Estimate",963,5.0,963
"Census Tract 68, Hudson County, New Jersey!!Total population!!Estimate",943,68.0,943
"Census Tract 188, Hudson County, New Jersey!!Total population!!Estimate","1,496",188.0,1496
"Census Tract 157, Hudson County, New Jersey!!Total population!!Estimate","1,026",157.0,1026
"Census Tract 158.02, Hudson County, New Jersey!!Total population!!Estimate","1,007",158.02,1007
"Census Tract 28, Hudson County, New Jersey!!Total population!!Estimate",790,28.0,790
"Census Tract 104, Hudson County, New Jersey!!Total population!!Estimate","1,008",104.0,1008
"Census Tract 44, Hudson County, New Jersey!!Total population!!Estimate",715,44.0,715
"Census Tract 12.02, Hudson County, New Jersey!!Total population!!Estimate",689,12.02,689
"Census Tract 46, Hudson County, New Jersey!!Total population!!Estimate","1,173",46.0,1173
"Census Tract 130, Hudson County, New Jersey!!Total population!!Estimate","1,071",130.0,1071
"Census Tract 135, Hudson County, New Jersey!!Total population!!Estimate","1,021",135.0,1021
"Census Tract 137, Hudson County, New Jersey!!Total population!!Estimate","1,091",137.0,1091
"Census Tract 159, Hudson County, New Jersey!!Total population!!Estimate",942,159.0,942
"Census Tract 181, Hudson County, New Jersey!!Total population!!Estimate","1,027",181.0,1027
"Census Tract 9.02, Hudson County, New Jersey!!Total population!!Estimate",780,9.02,780
"Census Tract 55, Hudson County, New Jersey!!Total population!!Estimate","1,100",55.0,1100
"Census Tract 110, Hudson County, New Jersey!!Total population!!Estimate","1,080",110.0,1080
