census_tract,Median value (dollars),tract_num,median_house_2020
"Census Tract 1.01, Hudson County, New Jersey!!Estimate","420,600",1.01,420600.0
"Census Tract 1.02, Hudson County, New Jersey!!Estimate","395,600",1.02,395600.0
"Census Tract 2, Hudson County, New Jersey!!Estimate","467,700",2.0,467700.0
"Census Tract 3, Hudson County, New Jersey!!Estimate","538,400",3.0,538400.0
"Census Tract 4, Hudson County, New Jersey!!Estimate","421,200",4.0,421200.0
"Census Tract 5, Hudson County, New Jersey!!Estimate","515,500",5.0,515500.0
"Census Tract 6, Hudson County, New Jersey!!Estimate","389,800",6.0,389800.0
"Census Tract 7, Hudson County, New Jersey!!Estimate","577,400",7.0,577400.0
"Census Tract 8, Hudson County, New Jersey!!Estimate","452,700",8.0,452700.0
"Census Tract 9.02, Hudson County, New Jersey!!Estimate","347,500",9.02,347500.0
"Census Tract 10, Hudson County, New Jersey!!Estimate","461,000",10.0,461000.0
"Census Tract 11, Hudson County, New Jersey!!Estimate","440,700",11.0,440700.0
"Census Tract 12.01, Hudson County, New Jersey!!Estimate","385,300",12.01,385300.0
"Census Tract 12.02, Hudson County, New Jersey!!Estimate","420,000",12.02,420000.0
"Census Tract 13, Hudson County, New Jersey!!Estimate","439,600",13.0,439600.0
"Census Tract 14, Hudson County, New Jersey!!Estimate","380,800",14.0,380800.0
"Census Tract 17.01, Hudson County, New Jersey!!Estimate","504,700",17.01,504700.0
"Census Tract 18, Hudson County, New Jersey!!Estimate","419,100",18.0,419100.0
"Census Tract 19, Hudson County, New Jersey!!Estimate","361,100",19.0,361100.0
"Census Tract 20.01, Hudson County, New Jersey!!Estimate","372,500",20.01,372500.0
"Census Tract 20.02, Hudson County, New Jersey!!Estimate","358,700",20.02,358700.0
"Census Tract 22, Hudson County, New Jersey!!Estimate","937,500",22.0,937500.0
"Census Tract 23, Hudson County, New Jersey!!Estimate","738,600",23.0,738600.0
"Census Tract 24, Hudson County, New Jersey!!Estimate","871,800",24.0,871800.0
"Census Tract 27, Hudson County, New Jersey!!Estimate","339,600",27.0,339600.0
"Census Tract 28, Hudson County, New Jersey!!Estimate","378,300",28.0,378300.0
"Census Tract 29, Hudson County, New Jersey!!Estimate","355,500",29.0,355500.0
"Census Tract 30, Hudson County, New Jersey!!Estimate","445,000",30.0,445000.0
"Census Tract 31.01, Hudson County, New Jersey!!Estimate","328,600",31.01,328600.0
"Census Tract 31.02, Hudson County, New Jersey!!Estimate","430,000",31.02,430000.0
"Census Tract 35, Hudson County, New Jersey!!Estimate","619,500",35.0,619500.0
"Census Tract 40, Hudson County, New Jersey!!Estimate","332,500",40.0,332500.0
"Census Tract 41.02, Hudson County, New Jersey!!Estimate","687,500",41.02,687500.0
"Census Tract 41.03, Hudson County, New Jersey!!Estimate","402,000",41.03,402000.0
"Census Tract 41.04, Hudson County, New Jersey!!Estimate","372,200",41.04,372200.0
"Census Tract 42, Hudson County, New Jersey!!Estimate","313,400",42.0,313400.0
"Census Tract 43, Hudson County, New Jersey!!Estimate","464,200",43.0,464200.0
"Census Tract 44, Hudson County, New Jersey!!Estimate","388,600",44.0,388600.0
"Census Tract 45, Hudson County, New Jersey!!Estimate","237,100",45.0,237100.0
"Census Tract 46, Hudson County, New Jersey!!Estimate","298,400",46.0,298400.0
"Census Tract 47, Hudson County, New Jersey!!Estimate","378,500",47.0,378500.0
"Census Tract 48, Hudson County, New Jersey!!Estimate","329,200",48.0,329200.0
"Census Tract 49, Hudson County, New Jersey!!Estimate","333,700",49.0,333700.0
"Census Tract 52, Hudson County, New Jersey!!Estimate","243,300",52.0,243300.0
"Census Tract 53, Hudson County, New Jersey!!Estimate","281,700",53.0,281700.0
"Census Tract 54, Hudson County, New Jersey!!Estimate","361,800",54.0,361800.0
"Census Tract 55, Hudson County, New Jersey!!Estimate","301,600",55.0,301600.0
"Census Tract 56, Hudson County, New Jersey!!Estimate","334,000",56.0,334000.0
"Census Tract 58.01, Hudson County, New Jersey!!Estimate","283,900",58.01,283900.0
"Census Tract 58.02, Hudson County, New Jersey!!Estimate","517,900",58.02,517900.0
"Census Tract 59.01, Hudson County, New Jersey!!Estimate","279,800",59.01,279800.0
"Census Tract 59.02, Hudson County, New Jersey!!Estimate","329,500",59.02,329500.0
"Census Tract 60, Hudson County, New Jersey!!Estimate","348,900",60.0,348900.0
"Census Tract 61.01, Hudson County, New Jersey!!Estimate","394,300",61.01,394300.0
"Census Tract 61.02, Hudson County, New Jersey!!Estimate","244,800",61.02,244800.0
"Census Tract 62, Hudson County, New Jersey!!Estimate","354,700",62.0,354700.0
"Census Tract 63, Hudson County, New Jersey!!Estimate","288,300",63.0,288300.0
"Census Tract 64, Hudson County, New Jersey!!Estimate","730,700",64.0,730700.0
"Census Tract 65, Hudson County, New Jersey!!Estimate","660,000",65.0,660000.0
"Census Tract 66, Hudson County, New Jersey!!Estimate","551,200",66.0,551200.0
"Census Tract 67, Hudson County, New Jersey!!Estimate","284,700",67.0,284700.0
"Census Tract 68, Hudson County, New Jersey!!Estimate",-,68.0,
"Census Tract 69, Hudson County, New Jersey!!Estimate",-,69.0,
"Census Tract 70.01, Hudson County, New Jersey!!Estimate","873,200",70.01,873200.0
"Census Tract 70.02, Hudson County, New Jersey!!Estimate","780,700",70.02,780700.0
"Census Tract 71, Hudson County, New Jersey!!Estimate","572,100",71.0,572100.0
"Census Tract 72, Hudson County, New Jersey!!Estimate","751,800",72.0,751800.0
"Census Tract 73, Hudson County, New Jersey!!Estimate","698,700",73.0,698700.0
"Census Tract 74, Hudson County, New Jersey!!Estimate","917,700",74.0,917700.0
"Census Tract 75, Hudson County, New Jersey!!Estimate","669,500",75.0,669500.0
"Census Tract 76.01, Hudson County, New Jersey!!Estimate","770,200",76.01,770200.0
"Census Tract 76.02, Hudson County, New Jersey!!Estimate","760,200",76.02,760200.0
"Census Tract 77.01, Hudson County, New Jersey!!Estimate","684,200",77.01,684200.0
"Census Tract 77.02, Hudson County, New Jersey!!Estimate",-,77.02,
"Census Tract 77.03, Hudson County, New Jersey!!Estimate","826,200",77.03,826200.0
"Census Tract 78, Hudson County, New Jersey!!Estimate",-,78.0,
"Census Tract 101, Hudson County, New Jersey!!Estimate","288,700",101.0,288700.0
"Census Tract 102, Hudson County, New Jersey!!Estimate","427,000",102.0,427000.0
"Census Tract 103, Hudson County, New Jersey!!Estimate","351,000",103.0,351000.0
"Census Tract 104, Hudson County, New Jersey!!Estimate","368,900",104.0,368900.0
"Census Tract 105, Hudson County, New Jersey!!Estimate","360,300",105.0,360300.0
"Census Tract 106.01, Hudson County, New Jersey!!Estimate","295,800",106.01,295800.0
"Census Tract 106.02, Hudson County, New Jersey!!Estimate","335,900",106.02,335900.0
"Census Tract 107.01, Hudson County, New Jersey!!Estimate","388,500",107.01,388500.0
"Census Tract 107.02, Hudson County, New Jersey!!Estimate","348,600",107.02,348600.0
"Census Tract 108, Hudson County, New Jersey!!Estimate","332,900",108.0,332900.0
"Census Tract 109, Hudson County, New Jersey!!Estimate","395,300",109.0,395300.0
"Census Tract 110, Hudson County, New Jersey!!Estimate","366,500",110.0,366500.0
"Census Tract 111, Hudson County, New Jersey!!Estimate","320,300",111.0,320300.0
"Census Tract 112, Hudson County, New Jersey!!Estimate","379,900",112.0,379900.0
"Census Tract 113, Hudson County, New Jersey!!Estimate","280,600",113.0,280600.0
"Census Tract 114, Hudson County, New Jersey!!Estimate","322,900",114.0,322900.0
"Census Tract 115, Hudson County, New Jersey!!Estimate","364,900",115.0,364900.0
"Census Tract 116, Hudson County, New Jersey!!Estimate","344,500",116.0,344500.0
"Census Tract 123, Hudson County, New Jersey!!Estimate","355,600",123.0,355600.0
"Census Tract 124, Hudson County, New Jersey!!Estimate","381,800",124.0,381800.0
"Census Tract 125, Hudson County, New Jersey!!Estimate","436,200",125.0,436200.0
"Census Tract 126, Hudson County, New Jersey!!Estimate","348,600",126.0,348600.0
"Census Tract 127, Hudson County, New Jersey!!Estimate","326,500",127.0,326500.0
"Census Tract 128, Hudson County, New Jersey!!Estimate","346,600",128.0,346600.0
"Census Tract 129, Hudson County, New Jersey!!Estimate","366,000",129.0,366000.0
