0,Geography,census_tract,household_num,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,median_income_2020
1,1400000US34017000101,"Census Tract 1.01, Hudson County, New Jersey",848,91300,91300.0
2,1400000US34017000102,"Census Tract 1.02, Hudson County, New Jersey",1135,57841,57841.0
3,1400000US34017000200,"Census Tract 2, Hudson County, New Jersey",1933,39665,39665.0
4,1400000US34017000300,"Census Tract 3, Hudson County, New Jersey",1477,61069,61069.0
5,1400000US34017000400,"Census Tract 4, Hudson County, New Jersey",1246,80324,80324.0
6,1400000US34017000500,"Census Tract 5, Hudson County, New Jersey",1389,76406,76406.0
7,1400000US34017000600,"Census Tract 6, Hudson County, New Jersey",2004,59862,59862.0
8,1400000US34017000700,"Census Tract 7, Hudson County, New Jersey",1401,56925,56925.0
9,1400000US34017000800,"Census Tract 8, Hudson County, New Jersey",1528,79500,79500.0
10,1400000US34017000902,"Census Tract 9.02, Hudson County, New Jersey",2452,85556,85556.0
11,1400000US34017001000,"Census Tract 10, Hudson County, New Jersey",719,64044,64044.0
12,1400000US34017001100,"Census Tract 11, Hudson County, New Jersey",2088,59898,59898.0
13,1400000US34017001201,"Census Tract 12.01, Hudson County, New Jersey",816,78258,78258.0
14,1400000US34017001202,"Census Tract 12.02, Hudson County, New Jersey",537,54967,54967.0
15,1400000US34017001300,"Census Tract 13, Hudson County, New Jersey",1041,98866,98866.0
16,1400000US34017001400,"Census Tract 14, Hudson County, New Jersey",1538,64028,64028.0
17,1400000US34017001701,"Census Tract 17.01, Hudson County, New Jersey",1594,67500,67500.0
18,1400000US34017001800,"Census Tract 18, Hudson County, New Jersey",1470,34038,34038.0
19,1400000US34017001900,"Census Tract 19, Hudson County, New Jersey",892,66417,66417.0
20,1400000US34017002001,"Census Tract 20.01, Hudson County, New Jersey",509,67639,67639.0
21,1400000US34017002002,"Census Tract 20.02, Hudson County, New Jersey",1230,57849,57849.0
22,1400000US34017002200,"Census Tract 22, Hudson County, New Jersey",827,116250,116250.0
23,1400000US34017002300,"Census Tract 23, Hudson County, New Jersey",1133,122434,122434.0
24,1400000US34017002400,"Census Tract 24, Hudson County, New Jersey",1263,131406,131406.0
25,1400000US34017002700,"Census Tract 27, Hudson County, New Jersey",1768,57222,57222.0
26,1400000US34017002800,"Census Tract 28, Hudson County, New Jersey",2211,65397,65397.0
27,1400000US34017002900,"Census Tract 29, Hudson County, New Jersey",1444,55862,55862.0
28,1400000US34017003000,"Census Tract 30, Hudson County, New Jersey",1127,40731,40731.0
29,1400000US34017003101,"Census Tract 31.01, Hudson County, New Jersey",1227,100875,100875.0
30,1400000US34017003102,"Census Tract 31.02, Hudson County, New Jersey",1196,51944,51944.0
31,1400000US34017003500,"Census Tract 35, Hudson County, New Jersey",981,98173,98173.0
32,1400000US34017004000,"Census Tract 40, Hudson County, New Jersey",1712,70167,70167.0
33,1400000US34017004102,"Census Tract 41.02, Hudson County, New Jersey",1422,72344,72344.0
34,1400000US34017004103,"Census Tract 41.03, Hudson County, New Jersey",708,114318,114318.0
35,1400000US34017004104,"Census Tract 41.04, Hudson County, New Jersey",1474,56100,56100.0
