Label (Grouping),Total:,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,total_pop_x,total_white_x,total_black_x,total_asian_x,total_other_x,total_hispanic_x,white_pct,black_pct,asian_pct,other_pct,hispanic_pct,near_hblr_x,near_path_x,tract_num,total_pop_y,total_white_y,total_black_y,total_asian_y,total_hispanic_y,total_other_y,near_hblr_y,near_path_y,total_white_pct,total_black_pct,total_asian_pct,total_hispanic_pct,total_other_pct,median_house_2020,median_income_2020,median_rent_2020,census_tract_x,median_house_2010,census_tract_y,Households,median_income_2010,census_tract,median_rent_2010,train_access,white_pct_change,black_pct_change,asian_pct_change,hispanic_pct_change,other_pct_change
"Census Tract 1, Hudson County, New Jersey","6,025","2,458","1,437",253,15,"1,693",9,32,128,6025.0,1437.0,253.0,1693.0,32.0,2458.0,23.850622406639005,4.199170124481328,28.099585062240664,0.5311203319502075,40.79668049792532,False,False,1.0,6388.0,1157.0,323.0,2097.0,2649.0,66.0,False,False,18.11208515967439,5.056355666875391,32.82717595491547,41.468378209142145,1.0331872260488417,406290.872415532,72149.23600605143,1545.6717095310137,"Census Tract 1, Hudson County, New Jersey!!Estimate",342900.0,"Census Tract 1, Hudson County, New Jersey!!Median income (dollars)!!Estimate","56,389",56389.0,"Census Tract 1, Hudson County, New Jersey!!Total population!!Estimate",1341.0,near_neither,-5.738537246964615,0.8571855423940633,4.7275908926748045,0.6716977112168223,0.5020668940986343
"Census Tract 2, Hudson County, New Jersey","5,409","3,362",987,310,12,630,0,31,77,5409.0,987.0,310.0,630.0,31.0,3362.0,18.24736550194121,5.731188759474949,11.647254575707152,0.5731188759474949,62.15566648178961,False,False,2.0,5391.0,859.0,320.0,1043.0,2954.0,86.0,False,False,15.93396401409757,5.9358189575217954,19.347059914672602,54.79502875162308,1.5952513448339825,467700.0,39665.0,1314.0,"Census Tract 2, Hudson County, New Jersey!!Estimate",275500.0,"Census Tract 2, Hudson County, New Jersey!!Median income (dollars)!!Estimate","38,438",38438.0,"Census Tract 2, Hudson County, New Jersey!!Total population!!Estimate",962.0,near_neither,-2.31340148784364,0.20463019804684635,7.699805338965451,-7.3606377301665304,1.0221324688864875
"Census Tract 3, Hudson County, New Jersey","4,220 (r46394)","2,346","1,267",177,10,312,0,35,73,4220.0,1267.0,177.0,312.0,35.0,2346.0,30.023696682464458,4.194312796208531,7.393364928909953,0.8293838862559242,55.59241706161138,True,False,3.0,3948.0,1249.0,141.0,496.0,1910.0,42.0,True,False,31.63627152988855,3.571428571428571,12.563323201621074,48.37892603850051,1.0638297872340425,538400.0,61069.0,1288.0,"Census Tract 3, Hudson County, New Jersey!!Estimate",409300.0,"Census Tract 3, Hudson County, New Jersey!!Median income (dollars)!!Estimate","46,033",46033.0,"Census Tract 3, Hudson County, New Jersey!!Total population!!Estimate",1120.0,hblr_only,1.6125748474240922,-0.62288422477996,5.1699582727111215,-7.213491023110869,0.23444590097811835
"Census Tract 4, Hudson County, New Jersey","3,991","1,297","1,013",205,10,"1,297",0,39,130,3991.0,1013.0,205.0,1297.0,39.0,1297.0,25.382109746930592,5.136557253821097,32.4981207717364,0.9771986970684038,32.4981207717364,False,False,4.0,3973.0,666.0,146.0,1654.0,1372.0,46.0,False,False,16.76315127107979,3.674804933299773,41.63100931286181,34.533098414296504,1.1578152529574628,421200.0,80324.0,1492.0,"Census Tract 4, Hudson County, New Jersey!!Estimate",366000.0,"Census Tract 4, Hudson County, New Jersey!!Median income (dollars)!!Estimate","70,586",70586.0,"Census Tract 4, Hudson County, New Jersey!!Total population!!Estimate",1317.0,near_neither,-8.618958475850803,-1.4617523205213243,9.13288854112541,2.0349776425601007,0.180616555889059
"Census Tract 5, Hudson County, New Jersey","4,311 (r46395)","1,928",977,224,10,"1,062",0,48,62,4311.0,977.0,224.0,1062.0,48.0,1928.0,22.66295523080492,5.196010206448619,24.63465553235908,1.1134307585247043,44.72280213407562,False,False,5.0,4317.0,957.0,197.0,1310.0,1677.0,58.0,False,False,22.1681723419041,4.563354181144313,30.34514709288858,38.846421125781795,1.3435255964790365,515500.0,76406.0,1534.0,"Census Tract 5, Hudson County, New Jersey!!Estimate",413200.0,"Census Tract 5, Hudson County, New Jersey!!Median income (dollars)!!Estimate","52,147",52147.0,"Census Tract 5, Hudson County, New Jersey!!Total population!!Estimate",963.0,near_neither,-0.49478288890081856,-0.6326560253043061,5.710491560529501,-5.876381008293826,0.23009483795433217
"Census Tract 6, Hudson County, New Jersey","5,750 (r46396)","2,494","1,373",366,11,"1,303",1,38,164,5750.0,1373.0,366.0,1303.0,38.0,2494.0,23.878260869565217,6.365217391304348,22.660869565217396,0.6608695652173914,43.37391304347826,False,False,6.0,5790.0,1237.0,286.0,1602.0,2450.0,74.0,False,False,21.364421416234887,4.939550949913644,27.668393782383422,42.31433506044905,1.2780656303972366,389800.0,59862.0,1189.0,"Census Tract 6, Hudson County, New Jersey!!Estimate",325400.0,"Census Tract 6, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,619",48619.0,"Census Tract 6, Hudson County, New Jersey!!Total population!!Estimate",1121.0,near_neither,-2.5138394533303305,-1.425666441390704,5.007524217166026,-1.0595779830292145,0.6171960651798453
"Census Tract 7, Hudson County, New Jersey","3,486 (r46397)","1,965",862,178,4,393,0,33,51,3486.0,862.0,178.0,393.0,33.0,1965.0,24.72748135398738,5.1061388410786,11.273666092943202,0.9466437177280552,56.36833046471601,False,False,7.0,3609.0,955.0,169.0,488.0,1864.0,46.0,False,False,26.461623718481576,4.682737600443336,13.521751177611527,51.64865613743419,1.2745912995289554,577400.0,56925.0,1393.0,"Census Tract 7, Hudson County, New Jersey!!Estimate",366500.0,"Census Tract 7, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,795",48795.0,"Census Tract 7, Hudson County, New Jersey!!Total population!!Estimate",1157.0,near_neither,1.734142364494197,-0.42340124063526385,2.2480850846683254,-4.7196743272818225,0.3279475818009002
"Census Tract 8, Hudson County, New Jersey","3,900 (r46398)","2,150","1,021",253,12,345,0,58,61,3900.0,1021.0,253.0,345.0,58.0,2150.0,26.179487179487182,6.487179487179487,8.846153846153847,1.4871794871794872,55.12820512820513,True,False,8.0,4075.0,1582.0,178.0,541.0,1562.0,68.0,True,False,38.82208588957055,4.368098159509202,13.276073619631902,38.331288343558285,1.6687116564417177,452700.0,79500.0,1515.0,"Census Tract 8, Hudson County, New Jersey!!Estimate",376000.0,"Census Tract 8, Hudson County, New Jersey!!Median income (dollars)!!Estimate","65,444",65444.0,"Census Tract 8, Hudson County, New Jersey!!Total population!!Estimate",1255.0,hblr_only,12.64259871008337,-2.119081327670285,4.429919773478055,-16.796916784646847,0.18153216926223048
"Census Tract 9.02, Hudson County, New Jersey","6,100",980,"1,724",361,10,"2,802",6,39,178,6100.0,1724.0,361.0,2802.0,39.0,980.0,28.262295081967213,5.918032786885246,45.9344262295082,0.6393442622950819,16.065573770491802,False,True,9.02,6778.0,1341.0,278.0,4074.0,896.0,63.0,False,True,19.78459722632045,4.10150486869283,60.106226025376216,13.219238713484804,0.9294777220419003,347500.0,85556.0,1270.0,"Census Tract 9.02, Hudson County, New Jersey!!Estimate",326600.0,"Census Tract 9.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","35,977",35977.0,"Census Tract 9.02, Hudson County, New Jersey!!Total population!!Estimate",780.0,path_only,-8.477697855646763,-1.816527918192416,14.171799795868019,-2.846335057006998,0.29013345974681837
"Census Tract 10, Hudson County, New Jersey","1,986",570,624,91,1,631,0,15,54,1986.0,624.0,91.0,631.0,15.0,570.0,31.419939577039276,4.582074521651561,31.772406847935542,0.7552870090634441,28.700906344410875,False,False,10.0,2118.0,502.0,107.0,904.0,519.0,29.0,False,False,23.701605288007556,5.051935788479698,42.68177525967894,24.504249291784703,1.3692162417374882,461000.0,64044.0,1284.0,"Census Tract 10, Hudson County, New Jersey!!Estimate",314600.0,"Census Tract 10, Hudson County, New Jersey!!Median income (dollars)!!Estimate","59,625",59625.0,"Census Tract 10, Hudson County, New Jersey!!Total population!!Estimate",888.0,near_neither,-7.71833428903172,0.4698612668281372,10.9093684117434,-4.196657052626172,0.6139292326740441
"Census Tract 11, Hudson County, New Jersey","5,409 (r46399)","2,299","1,330",395,13,"1,195",2,70,105,5409.0,1330.0,395.0,1195.0,70.0,2299.0,24.588648548715103,7.302643741911628,22.092808282492143,1.2941393973007949,42.50323534849325,False,False,11.0,5345.0,1359.0,245.0,1634.0,1889.0,69.0,False,False,25.425631431244156,4.583723105706268,30.570626753975677,35.34144059869037,1.2909260991580918,440700.0,59898.0,1311.0,"Census Tract 11, Hudson County, New Jersey!!Estimate",362800.0,"Census Tract 11, Hudson County, New Jersey!!Median income (dollars)!!Estimate","53,174",53174.0,"Census Tract 11, Hudson County, New Jersey!!Total population!!Estimate",1215.0,near_neither,0.8369828825290533,-2.71892063620536,8.477818471483534,-7.16179474980288,-0.0032132981427031027
"Census Tract 12.01, Hudson County, New Jersey","2,158",476,346,124,11,"1,103",0,21,77,2158.0,346.0,124.0,1103.0,21.0,476.0,16.033364226135312,5.746061167747914,51.11214087117701,0.9731232622798888,22.05746061167748,False,False,12.01,2153.0,313.0,89.0,1191.0,464.0,21.0,False,False,14.537854156990246,4.133766836971668,55.31816070599164,21.5513237343242,0.9753831862517418,385300.0,78258.0,1374.0,"Census Tract 12.01, Hudson County, New Jersey!!Estimate",374800.0,"Census Tract 12.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","68,355",68355.0,"Census Tract 12.01, Hudson County, New Jersey!!Total population!!Estimate",1011.0,near_neither,-1.495510069145066,-1.6122943307762467,4.206019834814626,-0.5061368773532813,0.0022599239718530395
"Census Tract 12.02, Hudson County, New Jersey","1,357",472,198,289,4,336,1,14,43,1357.0,198.0,289.0,336.0,14.0,472.0,14.591009579955786,21.2969786293294,24.760501105379515,1.0316875460574797,34.78260869565217,False,True,12.02,1268.0,188.0,281.0,354.0,395.0,15.0,False,True,14.826498422712934,22.160883280757098,27.917981072555204,31.15141955835962,1.1829652996845426,420000.0,54967.0,1154.0,"Census Tract 12.02, Hudson County, New Jersey!!Estimate",370000.0,"Census Tract 12.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","19,150",19150.0,"Census Tract 12.02, Hudson County, New Jersey!!Total population!!Estimate",689.0,path_only,0.23548884275714776,0.8639046514276991,3.1574799671756892,-3.6311891372925515,0.15127775362706286
"Census Tract 13, Hudson County, New Jersey","2,913 (r46400)","1,445",839,189,5,372,3,7,53,2913.0,839.0,189.0,372.0,7.0,1445.0,28.80192241675249,6.488156539649846,12.770339855818744,0.2403020940611054,49.605217988328185,False,False,13.0,2624.0,919.0,148.0,449.0,962.0,44.0,False,False,35.02286585365854,5.640243902439025,17.111280487804876,36.66158536585366,1.676829268292683,439600.0,98866.0,1595.0,"Census Tract 13, Hudson County, New Jersey!!Estimate",327000.0,"Census Tract 13, Hudson County, New Jersey!!Median income (dollars)!!Estimate","48,884",48884.0,"Census Tract 13, Hudson County, New Jersey!!Total population!!Estimate",1086.0,near_neither,6.2209434369060475,-0.847912637210821,4.340940631986133,-12.943632622474524,1.4365271742315777
"Census Tract 14, Hudson County, New Jersey","3,738 (r46401)","1,752",749,294,12,797,3,35,96,3738.0,749.0,294.0,797.0,35.0,1752.0,20.0374531835206,7.865168539325842,21.321562332798287,0.9363295880149812,46.86998394863564,False,False,14.0,3867.0,900.0,214.0,1070.0,1505.0,41.0,False,False,23.273855702094647,5.534005689164727,27.670028445823636,38.91905870183605,1.0602534264287562,380800.0,64028.0,1407.0,"Census Tract 14, Hudson County, New Jersey!!Estimate",341900.0,"Census Tract 14, Hudson County, New Jersey!!Median income (dollars)!!Estimate","50,675",50675.0,"Census Tract 14, Hudson County, New Jersey!!Total population!!Estimate",966.0,near_neither,3.236402518574046,-2.3311628501611157,6.348466113025349,-7.950925246799592,0.12392383841377497
